name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,namespace,repository_url,homepage
unimodules-permissions-interface,84990,35,2360.8,expo,28,,https://github.com/expo/expo,https://github.com/expo/expo/tree/master/packages/unimodules-permissions-interface
sumchecker,84888,42,1974.1,malept,1,,https://github.com/malept/sumchecker,https://github.com/malept/sumchecker#readme
with-open-file,84783,33,2493.6,raphinesse,1,,https://github.com/raphinesse/with-open-file,https://github.com/raphinesse/with-open-file#readme
astw,84521,44,1878.2,substack,1,,https://github.com/substack/astw,https://github.com/substack/astw
condense-newlines,84362,20,4017.2,jonschlinkert,2,,https://github.com/jonschlinkert/condense-newlines,https://github.com/jonschlinkert/condense-newlines
lexical-scope,84323,25,3243.2,substack,1,,https://github.com/substack/lexical-scope,https://github.com/substack/lexical-scope
@sinonjs/text-encoding,84179,16,4951.7,sinonjs,6,sinonjs,https://github.com/sinonjs/text-encoding,https://github.com/sinonjs/text-encoding
fn.name,84017,24,3360.7,3rd-Eden,2,,https://github.com/3rd-Eden/fn.name,https://github.com/3rd-Eden/fn.name
@expo/json-file,84014,50,1647.3,expo,28,expo,https://github.com/expo/expo,https://github.com/expo/expo/tree/main/packages/@expo/json-file#readme
libnpmsearch,83466,76,1084.0,npm,6,,https://github.com/npm/cli,https://npmjs.com/package/libnpmsearch
unimodules-file-system-interface,83455,8,9272.8,expo,12,,https://github.com/expo/expo,https://github.com/expo/expo/tree/master/packages/unimodules-file-system-interface
unimodules-constants-interface,83453,7,10431.6,expo,28,,https://github.com/expo/expo,https://github.com/expo/expo/tree/master/packages/unimodules-constants-interface
unimodules-barcode-scanner-interface,83451,8,9272.3,expo,28,,https://github.com/expo/expo,https://github.com/expo/expo/tree/master/packages/unimodules-barcode-scanner-interface
unimodules-font-interface,83451,7,10431.4,expo,28,,https://github.com/expo/expo,https://github.com/expo/expo/tree/master/packages/unimodules-font-interface
unimodules-camera-interface,83450,8,9272.2,expo,28,,https://github.com/expo/expo,https://github.com/expo/expo/tree/master/packages/unimodules-camera-interface
unimodules-face-detector-interface,83448,8,9272.0,expo,28,,https://github.com/expo/expo,https://github.com/expo/expo/tree/master/packages/unimodules-face-detector-interface
unimodules-sensors-interface,83445,7,10430.6,expo,28,,https://github.com/expo/expo,https://github.com/expo/expo/tree/master/packages/unimodules-sensors-interface
unimodules-image-loader-interface,83444,7,10430.5,expo,28,,https://github.com/expo/expo,https://github.com/expo/expo/tree/master/packages/unimodules-image-loader-interface
libnpmteam,83286,41,1983.0,npm,6,,https://github.com/npm/cli,https://npmjs.com/package/libnpmteam
libnpmorg,83286,45,1810.6,npm,6,,https://github.com/npm/cli,https://npmjs.com/package/libnpmorg
@commitlint/resolve-extends,83227,8,9247.4,conventional-changelog,4,commitlint,https://github.com/conventional-changelog/commitlint,https://commitlint.js.org/
@commitlint/execute-rule,83226,5,13871.0,conventional-changelog,4,commitlint,https://github.com/conventional-changelog/commitlint,https://commitlint.js.org/
use-isomorphic-layout-effect,83085,61,1340.1,Andarist,1,,https://github.com/Andarist/use-isomorphic-layout-effect,https://github.com/Andarist/use-isomorphic-layout-effect#readme
name-all-modules-plugin,82822,47,1725.5,timse,1,,https://github.com/timse/name-all-modules-plugin,https://github.com/timse/name-all-modules-plugin#readme
@dabh/diagnostics,82800,14,5520.0,3rd-Eden,1,dabh,https://github.com/DABH/diagnostics,https://github.com/DABH/diagnostics
expo-sqlite,82537,60,1353.1,expo,28,,https://github.com/expo/expo,https://docs.expo.dev/versions/latest/sdk/sqlite/
@tufjs/canonical-json,82512,3,20628.0,theupdateframework,2,tufjs,https://github.com/theupdateframework/tuf-js,https://github.com/theupdateframework/tuf-js/tree/main/packages/canonical-json#readme
normalize-scroll-left,82229,55,1468.4,alitaheri,1,,https://github.com/alitaheri/normalize-scroll-left,https://github.com/alitaheri/normalize-scroll-left#readme
unimodules-task-manager-interface,82022,9,8202.2,expo,28,,https://github.com/expo/expo,https://github.com/expo/expo/tree/master/packages/unimodules-task-manager-interface
is-bluebird,81934,7,10241.8,overlookmotel,1,,https://github.com/overlookmotel/is-bluebird,https://github.com/overlookmotel/is-bluebird#readme
@google-cloud/paginator,81857,27,2923.5,googleapis,1,google-cloud,https://github.com/googleapis/nodejs-paginator,https://github.com/googleapis/nodejs-paginator#readme
set-getter,81775,25,3145.2,doowb,2,,https://github.com/doowb/set-getter,https://github.com/doowb/set-getter
@ethersproject/base64,81765,69,1168.1,ethers-io,1,ethersproject,https://github.com/ethers-io/ethers.js,https://github.com/ethers-io/ethers.js#readme
deprecated-decorator,81419,51,1565.8,vilicvane,1,,https://github.com/vilic/deprecated-decorator,https://github.com/vilic/deprecated-decorator#readme
native-request,80986,22,3521.1,ZaralDev,1,,https://github.com/ZaralDev/native-request,https://github.com/ZaralDev/native-request#readme
@floating-ui/utils,80958,10,7359.8,floating-ui,2,floating-ui,https://github.com/floating-ui/floating-ui,https://floating-ui.com
lodash._objecttypes,80918,23,3371.6,lodash-archive,2,,https://github.com/lodash/lodash-cli,http://lodash.com/custom-builds
@react-navigation/routers,80710,44,1793.6,react-navigation,7,react-navigation,https://github.com/react-navigation/react-navigation,https://reactnavigation.org/docs/custom-routers/
ensure-posix-path,79881,45,1736.5,stefanpenner,1,,https://github.com/stefanpenner/ensure-posix-path,https://github.com/stefanpenner/ensure-posix-path#readme
connect-pause,79838,56,1400.7,flesler,1,,https://github.com/flesler/connect-pause,
fs-vacuum,79815,50,1565.0,npm,6,,https://github.com/npm/fs-vacuum,https://github.com/npm/fs-vacuum
npm-cache-filename,79811,50,1564.9,npm,6,,https://github.com/npm/npm-cache-filename,https://github.com/npm/npm-cache-filename
is-tar,79008,19,3950.4,kevva,1,,https://github.com/kevva/is-tar,https://github.com/kevva/is-tar
buffer-to-arraybuffer,78393,72,1073.9,miguelmota,1,,https://github.com/miguelmota/buffer-to-arraybuffer,https://github.com/miguelmota/buffer-to-arraybuffer
url-set-query,78060,40,1903.9,unknown,1,,https://github.com/mattdesl/url-set-query,https://github.com/mattdesl/url-set-query
enzyme-shallow-equal,77062,76,1000.8,enzymejs,3,,https://github.com/enzymejs/enzyme,https://enzymejs.github.io/enzyme/
