name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
mathieudutour/github-tag-action,4765,0,4765.0,mathieudutour,0,27,562
google-github-actions/auth,4745,0,4745.0,google-github-actions,0,21,835
codespell-project/actions-codespell,4745,0,4745.0,codespell-project,0,14,81
superbrothers/close-pull-request,4434,0,4434.0,superbrothers,0,3,39
changesets/action,4405,0,4405.0,changesets,0,30,566
cirrus-actions/rebase,4274,0,4274.0,cirrus-actions,0,26,652
msys2/setup-msys2,4076,0,4076.0,msys2,0,20,355
haya14busa/action-cond,3976,0,3976.0,haya14busa,0,4,88
tibdex/github-app-token,3925,0,3925.0,tibdex,0,8,388
helm/chart-releaser-action,3897,0,3897.0,helm,0,32,628
lowlighter/metrics,3890,0,3890.0,lowlighter,0,61,15450
paambaati/codeclimate-action,3864,0,3864.0,paambaati,0,26,198
act10ns/slack,3810,0,3810.0,act10ns,0,5,185
actions-ecosystem/action-add-labels,3807,0,3807.0,actions-ecosystem,0,6,97
eps1lon/actions-label-merge-conflict,3789,0,3789.0,eps1lon,0,10,55
julia-actions/setup-julia,3780,0,3780.0,julia-actions,0,10,90
ilammy/msvc-dev-cmd,3750,0,3750.0,ilammy,0,13,289
julia-actions/julia-buildpkg,3741,0,3741.0,julia-actions,0,10,18
actions-rs/clippy-check,3700,0,3700.0,actions-rs,0,6,274
julia-actions/julia-runtest,3698,0,3698.0,julia-actions,0,16,61
actions-cool/issues-helper,3689,0,3689.0,actions-cool,0,17,336
sigstore/cosign-installer,3637,0,3637.0,sigstore,0,29,119
benc-uk/workflow-dispatch,3617,0,3617.0,benc-uk,0,5,293
actions/add-to-project,3616,0,3616.0,actions,0,20,483
atlassian/gajira-login,3545,0,3545.0,atlassian,0,6,81
actions-ecosystem/action-remove-labels,3531,0,3531.0,actions-ecosystem,0,6,52
wowchemy/gh-action-updater,3466,0,3466.0,HugoBlox,0,1,0
distributhor/workflow-webhook,3370,0,3370.0,distributhor,0,12,149
crazy-max/ghaction-github-labeler,3345,0,3345.0,crazy-max,0,11,126
aquasecurity/trivy-action,3327,0,3327.0,aquasecurity,0,70,832
atlassian/gajira-create,3291,0,3291.0,atlassian,0,6,51
webfactory/ssh-agent,3277,0,3277.0,webfactory,0,25,1030
andstor/file-existence-action,3242,0,3242.0,andstor,0,5,110
helm/kind-action,3150,0,3150.0,helm,0,21,309
GitRML/delete-workflow-runs,3146,0,3146.0,GitRML,0,2,10
elgohr/Publish-Docker-Github-Action,3144,0,3144.0,elgohr,0,19,791
peter-evans/find-comment,3135,0,3135.0,peter-evans,0,8,211
google-github-actions/release-please-action,3132,0,3132.0,googleapis,0,57,1437
JuliaRegistries/TagBot,3127,0,3127.0,JuliaRegistries,0,14,102
appleboy/scp-action,3078,0,3078.0,appleboy,0,8,1485
stdlib-js/bundle-action,3078,0,3078.0,stdlib-js,0,1,2
SonarSource/sonarcloud-github-action,3072,0,3072.0,SonarSource,0,36,608
lycheeverse/lychee-action,3071,0,3071.0,lycheeverse,0,36,416
snok/install-poetry,3009,0,3009.0,snok,0,20,620
