name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
fake-simd,13612,8,1512.4,RustCrypto,1,71,438
oboe-sys,3020,1,1510.0,katyo,1,12,67
signal-hook-registry,33065,21,1503.0,vorner,1,27,725
bytecheck_derive,2972,1,1486.0,rkyv,1,10,65
phf_generator,14667,9,1466.7,rust-phf,3,63,1837
glib-macros,5865,3,1466.3,gtk-rs,3,259,232
rand_hc,46922,31,1466.3,rust-random,1,16,45
dirs-sys,16116,10,1465.1,dirs-dev,1,12,41
unicode-bidi,49788,33,1464.4,servo,5,26,79
overload,11316,7,1414.5,danaugrs,1,2,17
fsevent-sys,7024,4,1404.8,octplane,1,,46
maybe-uninit,12590,8,1398.9,est31,1,,8
anstyle-query,5383,3,1345.8,rust-cli,1,31,149
tokio-macros,29582,21,1344.6,tokio-rs,1,845,24544
semver-parser,34388,25,1322.6,steveklabnik,1,,35
winapi-wsapoll,2621,1,1310.5,psychon,1,3,2
scale-info-derive,2608,1,1304.0,paritytech,2,21,73
encoding-index-japanese,2589,1,1294.5,lifthrasiir,1,37,288
encoding-index-tradchinese,2589,1,1294.5,lifthrasiir,1,37,286
encoding-index-simpchinese,2589,1,1294.5,lifthrasiir,1,37,286
encoding-index-singlebyte,2589,1,1294.5,lifthrasiir,1,37,286
derive_builder_core,3881,2,1293.7,colin-kiegel,2,39,1497
pear_codegen,3853,2,1284.3,SergioBenitez,1,4,51
precomputed-hash,8889,6,1269.9,emilio,1,,2
chrono-tz-build,2513,1,1256.5,chronotope,1,29,214
nalgebra-macros,2501,1,1250.5,dimforge,1,204,4543
ident_case,18712,14,1247.5,TedDriggs,1,,3
tauri-macros,4870,3,1217.5,tauri-apps,1,361,84114
peeking_take_while,12162,9,1216.2,fitzgen,1,,11
const-random-macro,2412,1,1206.0,tkaitchuck,1,10,79
windows-metadata,4810,3,1202.5,microsoft,1,82,11773
tauri-codegen,4800,3,1200.0,tauri-apps,1,361,84114
regalloc,2371,1,1185.5,bytecodealliance,2,,105
asn1-rs-impl,2343,1,1171.5,rusticata,1,6,10
asn1-rs-derive,2343,1,1171.5,rusticata,1,6,10
include_dir_macros,2335,1,1167.5,Michael-F-Bryan,1,14,377
foreign-types-macros,2304,1,1152.0,sfackler,1,9,55
ucd-util,5743,4,1148.6,BurntSushi,1,16,113
lexical-write-float,2289,1,1144.5,Alexhuszagh,1,27,344
paste-impl,2289,1,1144.5,dtolnay,1,9,1058
ab_glyph_rasterizer,5696,4,1139.2,alexheretic,1,7,417
anstyle-parse,5681,4,1136.2,rust-cli,1,31,149
mockall_derive,2265,1,1132.5,asomers,1,32,1737
cranelift-codegen-shared,3384,2,1128.0,bytecodealliance,6,514,17063
brotli-decompressor,16834,14,1122.3,dropbox,1,13,57
wincolor,3350,2,1116.7,BurntSushi,1,185,488
utf8parse,14492,12,1114.8,alacritty,2,23,287
universal-hash,7793,6,1113.3,RustCrypto,2,64,578
devise_core,3314,2,1104.7,SergioBenitez,1,1,9
miow,35121,31,1097.5,yoshuawuyts,3,20,117
data-encoding-macro-internal,2180,1,1090.0,ia0,1,11,196
simd-adler32,14049,12,1080.7,mcountryman,1,6,39
feature-probe,2157,1,1078.5,tov,1,,4
unicode-ident,61426,56,1077.6,dtolnay,1,1,76
value-bag,5356,4,1071.2,sval-rs,1,4,28
redox_termios,7405,6,1057.9,redox-os,1,,0
xcursor,4202,3,1050.5,esposm03,1,8,7
