name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
amqp,24167,78,305.9,celery,4,102,309
drf-yasg,20518,67,301.7,axnsan12,2,69,3417
incremental,17795,58,301.6,twisted,3,12,136
newrelic,4206,13,300.4,newrelic,1,39,178
snowballstemmer,42225,140,299.5,snowballstem,2,35,718
text-unidecode,29115,97,297.1,kmike,1,5,68
python-debian,7283,24,291.3,python-debian-team,3,49,6
murmurhash,8689,29,289.6,explosion,3,10,44
preshed,8671,29,289.0,explosion,3,12,87
conda-build,3991,13,285.1,conda,1,246,396
youtube_dl,3990,13,285.0,ytdl-org,4,1002,128987
entrypoints,76029,268,282.6,takluyver,1,,72
django-rest-swagger,5076,17,282.0,marcgibbons,1,,2591
pytest-arraydiff,3367,11,280.6,astropy,3,13,21
jupyter-core,67109,242,276.2,jupyter,13,62,196
pylint-plugin-utils,8273,29,275.8,pylint-dev,1,,25
conda-package-handling,2196,7,274.5,conda,2,21,26
uritemplate,45808,166,274.3,python-hyper,4,20,240
pastel,2191,7,273.9,sdispater,1,,51
pymacaroons,2982,10,271.1,ecordell,1,13,81
ruamel.yaml.clib,26772,98,270.4,,1,,
django-extensions,44083,163,268.8,django-extensions,1,584,6561
molecule,4707,17,261.5,ansible,1,326,3877
django-bootstrap3,5217,19,260.9,zostera,3,102,2337
gast,31773,121,260.4,serge-sans-paille,1,10,137
google-pasta,24151,92,259.7,google,2,15,359
django-environ,35836,137,259.7,joke2k,1,98,2939
backports.os,2075,7,259.4,PiDelport,1,,5
django-widget-tweaks,9574,36,258.8,jazzband,2,30,2057
social-auth-core,8515,32,258.0,python-social-auth,1,505,901
backports.weakref,4071,15,254.4,PiDelport,1,,8
promise,9252,36,250.1,syrusakbary,2,18,362
django-imagekit,2981,11,248.4,matthewwithanm,3,83,2346
cymem,8676,34,247.9,explosion,3,9,437
wincertstore,19578,78,247.8,tiran,1,,0
wcwidth,134173,544,246.2,jquast,1,21,392
jedi,89812,365,245.4,davidhalter,1,176,5776
sortedcollections,5027,20,239.4,grantjenks,1,,98
tensorboard-plugin-wit,17710,73,239.3,PAIR-code,2,21,910
jupyterlab-pygments,21958,91,238.7,jupyterlab,1,8,33
backports.entry-points-selectable,4513,18,237.5,jaraco,1,12,1
zict,7912,33,232.7,,2,,
splinter,2084,8,231.6,cobrateam,2,185,2691
pep8,26315,113,230.8,PyCQA,5,141,5144
flask-mongoengine,2281,9,228.1,MongoEngine,7,89,842
django-sekizai,2495,10,226.8,django-cms,3,27,452
docker-pycreds,6345,27,226.6,shin-,2,,7
django-appconf,11633,51,223.7,django-compressor,3,,349
pyflakes,85784,387,221.1,PyCQA,3,86,1433
locket,8556,38,219.4,mwilliamson,1,5,26
pycparser,163284,746,218.6,eliben,1,90,3237
dominate,13543,61,218.4,Knio,1,34,1600
aws-sam-translator,3274,14,218.3,aws,1,273,9175
pipenv,9816,44,218.1,pypa,6,501,24866
blis,7186,32,217.8,explosion,3,14,226
dockerpty,4117,18,216.7,d11wtq,4,,156
nodeenv,20156,93,214.4,ekalinin,1,106,1703
partd,8060,37,212.1,dask,4,21,107
thinc,8632,40,210.5,explosion,3,68,2821
chardet,284023,1349,210.4,chardet,5,52,2174
python-mimeparse,4189,19,209.5,falconry,4,13,20
imagesize,30985,147,209.4,shibukawa,1,,196
webencodings,82892,395,209.3,gsnedders,3,,35
tensorflow-estimator,24111,115,207.9,tensorflow,2,124,302
traitlets,100378,484,207.0,ipython,12,116,604
pyasn1-modules,69924,338,206.3,pyasn1,4,,6
oauthlib,100425,489,204.9,oauthlib,6,198,2755
cfgv,18862,92,202.8,asottile,1,6,45
jupyterlab-server,13742,67,202.1,jupyterlab,1,50,140
