name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
cmake,493,2,164.3,cmake,0,,538
pre-commit,493,2,164.3,pre-commit,0,164,14448
keras,327,1,163.5,keras-team,0,1289,63497
git,326,1,163.0,git,0,2226,56830
certifi,3359,20,160.0,certifi,0,38,924
llvm-openmp,479,2,159.7,llvm,0,5333,35102
simplegeneric,319,1,159.5,,0,,
pickleshare,1433,8,159.2,ipython,0,12,73
tensorflow-base,317,1,158.5,tensorflow,0,4341,192241
libpng,2372,14,158.1,,0,,
pycparser,1894,11,157.8,eliben,0,85,3428
brotli-bin,313,1,156.5,google,0,110,14346
gstreamer,936,5,156.0,,0,,
ipympl,308,1,154.0,matplotlib,0,35,1631
pytest-xdist,306,1,153.0,pytest-dev,0,104,1720
mkl,2138,13,152.7,,0,,
send2trash,1067,6,152.4,arsenetar,0,20,290
glib,1208,7,151.0,GNOME,0,,146
debugpy,448,2,149.3,microsoft,0,65,2248
nbconvert,2067,13,147.6,jupyter,0,285,1877
soupsieve,442,2,147.3,facelessuser,0,12,247
coverage,440,2,146.7,nedbat,0,181,3256
pyqt,2341,15,146.3,,0,,
pandocfilters,1159,7,144.9,jgm,0,42,544
nltk,717,4,143.4,nltk,0,476,14346
dask,2283,15,142.7,dask,0,632,13549
libopus,285,1,142.5,,0,,
libuuid,1139,7,142.4,util-linux,0,1011,2983
astor,283,1,141.5,berkerpeksag,0,35,852
numpydoc,707,4,141.4,numpy,0,89,337
json5,424,2,141.3,dpranke,0,13,252
pylint,690,4,138.0,pylint-dev,0,630,5603
isort,688,4,137.6,,0,,
make,541,3,135.3,,0,,
s3fs,1076,7,134.5,fsspec,0,146,977
cffi,2016,14,134.4,python-cffi,0,86,220
threadpoolctl,663,4,132.6,joblib,0,12,385
mkl-service,1589,11,132.4,IntelPython,0,9,75
font-ttf-dejavu-sans-mono,264,1,132.0,,0,,
blas,1975,14,131.7,OpenMathLib,0,342,6978
gettext,789,5,131.5,,0,,
spyder,393,2,131.0,spyder-ide,0,276,8940
scikit-image,1441,10,131.0,scikit-image,0,643,6352
pytorch,2722,20,129.6,pytorch,0,5024,94348
folium,259,1,129.5,python-visualization,0,165,7250
icu,1927,14,128.5,unicode-org,0,244,3268
c-ares,763,5,127.2,c-ares,0,166,2045
ipython,3810,29,127.0,ipython,0,992,16598
xarray,2401,18,126.4,pydata,0,547,3988
gmp,749,5,124.8,,0,,
xorg-kbproto,373,2,124.3,,0,,
libssh2,858,6,122.6,libssh2,0,196,1460
libwebp-base,978,7,122.3,,0,,
libiconv,1221,9,122.1,,0,,
font-ttf-source-code-pro,244,1,122.0,adobe-fonts,0,8,20304
font-ttf-ubuntu,244,1,122.0,,0,,
libidn2,244,1,122.0,libidn,0,10,8
libunistring,244,1,122.0,,0,,
cairo,732,5,122.0,cairo,0,391,39
font-ttf-inconsolata,244,1,122.0,,0,,
libnsl,242,1,121.0,thkukuk,0,6,28
argon2-cffi-bindings,242,1,121.0,hynek,0,5,15
giflib,721,5,120.2,,0,,
black,1069,8,118.8,psf,0,466,41080
testpath,1063,8,118.1,jupyter,0,8,31
libdeflate,587,4,117.4,ebiggers,0,32,1141
openh264,352,2,117.3,cisco,0,144,5759
tensorflow,703,5,117.2,tensorflow,0,4341,192241
async_generator,351,2,117.0,python-trio,0,,102
webencodings,1166,9,116.6,gsnedders,0,,39
jupyterlab_pygments,815,6,116.4,jupyterlab,0,10,59
prompt_toolkit,929,7,116.1,prompt-toolkit,0,238,10036
gdal,811,6,115.9,OSGeo,0,657,5533
joblib,1957,16,115.1,joblib,0,143,4249
sphinxcontrib-jsmath,230,1,115.0,,0,,
absl-py,458,3,114.5,abseil,0,49,2404
sphinxcontrib-qthelp,229,1,114.5,sphinx-doc,0,8,3
sphinxcontrib-htmlhelp,229,1,114.5,sphinx-doc,0,7,3
sphinxcontrib-devhelp,229,1,114.5,sphinx-doc,0,8,4
sphinxcontrib-serializinghtml,229,1,114.5,sphinx-doc,0,,3
