name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
ckeditor,6343,26,234.9,ckeditor,0,12,523
holderjs,2811,11,234.3,imsky,0,42,5823
velocity,2107,8,234.1,julianshapiro,0,,17286
moment,68295,296,229.9,moment,0,695,48089
jquery.autocomplete,1379,5,229.8,julien-c,0,,1
fullcalendar,8657,37,227.8,fullcalendar,0,161,20000
toastr,2949,12,226.8,johnpapa,0,,24
jquery-ui,30882,137,223.8,components,0,,165
angular-route,80053,358,223.0,angular,0,,143
angular-aria,10026,44,222.8,angular,0,,24
bootstrap-daterangepicker,7225,32,218.9,dangrossman,0,161,10991
angular-motion,1750,7,218.8,mgcrea,0,,447
angular-animate,62985,292,215.0,angular,0,,138
angular-i18n,4941,22,214.8,angular,0,,125
requirejs,93764,442,211.7,requirejs,0,4,34
normalize.css,3152,14,210.1,necolas,0,42,53622
jquery-placeholder,1877,8,208.6,mathiasbynens,0,,3949
animate.css,12833,61,207.0,animate-css,0,131,82039
qunit,74168,359,206.0,components,0,,1
paper-elements,4935,23,205.6,PolymerElements,0,,88
bootstrap-tagsinput,1026,4,205.2,mdbootstrap,0,,3068
codemirror,6660,32,201.8,codemirror,0,1007,27109
datatables,6803,33,200.1,DataTables,0,,7402
jquery,363813,1836,198.0,jquery,0,342,59626
angular-bootstrap,44265,224,196.7,angular-ui,0,,157
d3,23815,122,193.6,mbostock-bower,0,,14
restangular,4642,23,193.4,mgonto,0,,7834
bootstrap-sass,12135,62,192.6,twbs,0,123,12541
angular-strap,3178,16,186.9,mgcrea,0,,5704
platform,1474,7,184.3,bestiejs,0,22,3242
jquery.cookie,2386,12,183.5,carhartl,0,,8535
chai,46734,254,183.3,chaijs,0,193,8251
normalize-css,8604,46,183.1,necolas,0,42,53622
angular-ui-select2,2369,12,182.2,angular-ui,0,,596
paper-radio-button,4891,26,181.1,PolymerElements,0,39,19
dropzone,1623,8,180.3,dropzone,0,90,17864
benchmark,1245,6,177.9,bestiejs,0,,5479
expect.js,2832,15,177.0,Automattic,0,,2101
handlebars,12807,72,175.4,components,0,21,50
angular-sanitize,66894,382,174.7,angular,0,,100
jquery-bridget,1386,7,173.3,desandro,0,,109
jszip,1339,7,167.4,Stuk,0,66,10205
angular-ui-bootstrap,2007,11,167.3,angular-ui,0,,14225
angular-xeditable,2510,14,167.3,vitalets,0,55,1897
mocha,46962,284,164.8,mochajs,0,567,22843
nvd3,2290,13,163.6,novus,0,283,7228
fontawesome,9410,57,162.2,FortAwesome,0,5,76137
moment-timezone,5599,35,155.5,moment,0,55,3870
angular-touch,24944,160,154.9,angular,0,,79
paper-radio-group,4797,30,154.7,PolymerElements,0,32,19
normalize-scss,1538,9,153.8,appleboy,0,19,92
jquery-simulate,3379,21,153.6,jquery,0,,172
angular-local-storage,7520,48,153.5,grevory,0,,2817
es5-shim,27418,178,153.2,es-shims,0,,7104
momentjs,5513,35,153.1,moment,0,695,48089
angular-ui-select,3925,25,151.0,angular-ui,0,,3250
paper-slider,5134,33,151.0,PolymerElements,0,56,47
angular-file-upload,1351,8,150.1,nervgh,0,44,3412
