name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,committers,stars
nexmo/client-core,3115,4,623.0,Nexmo,3,,87
phpspec/prophecy,514647,826,622.3,phpspec,2,126,8532
psy/psysh,439758,722,608.2,bobthecow,1,89,9733
php-http/promise,18212,30,587.5,php-http,3,8,1776
symfony/mime,363757,635,571.9,symfony,1,93,2690
laravel/nexmo-notification-channel,11030,19,551.5,laravel,1,22,729
composer/metadata-minifier,5900,10,536.4,composer,1,,170
webmozart/assert,528993,1007,524.8,webmozarts,1,63,7558
phenx/php-svg-lib,20777,40,506.8,dompdf,3,25,1382
jakub-onderka/php-console-highlighter,232295,463,500.6,JakubOnderka,1,,6210
